Cmdlet,DelegatedPermissions,ApplicationPermissions
Get-MgAdministrativeUnit,AdministrativeUnit.Read.All,AdministrativeUnit.Read.All
Get-MgBetaAgreement,Agreement.Read.All,NotSupported
Get-MgApplication,Application.Read.All,Application.Read.All
Get-MgApplicationOwner,Application.Read.All,Application.Read.All
Get-MgDevice,Device.Read.All,Device.Read.All
Get-MgBetaDirectoryAdministrativeUnitExtension,AdministrativeUnit.Read.All,AdministrativeUnit.Read.All
Get-MgBetaDirectoryAdministrativeUnitMember,AdministrativeUnit.Read.All,AdministrativeUnit.Read.All
Get-MgBetaDirectoryAdministrativeUnitScopedRoleMember,AdministrativeUnit.Read.All,AdministrativeUnit.Read.All
Get-MgBetaDirectoryRole,RoleManagement.Read.Directory,RoleManagement.Read.Directory
Get-MgBetaDirectoryRoleTemplate,RoleManagement.Read.Directory,RoleManagement.Read.Directory
Get-MgDirectorySetting,Directory.Read.All,Directory.Read.All
Get-MgEntitlementManagementAccessPackage,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgEntitlementManagementAccessPackageCatalog,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgEntitlementManagementAccessPackageCatalogAccessPackageResource,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgEntitlementManagementAccessPackageCatalogAccessPackageResourceRole,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgEntitlementManagementAccessPackageIncompatibleAccessPackage,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgEntitlementManagementAccessPackageIncompatibleGroup,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgEntitlementManagementAccessPackageIncompatibleWith,EntitlementManagement.Read.All,EntitlementManagement.Read.All
Get-MgGroup,Group.Read.All,Group.Read.All
Get-MgGroupLifecyclePolicy,Directory.Read.All,Directory.Read.All
Get-MgGroupMember,Group.Read.All,Group.Read.All
Get-MgGroupMemberOf,Group.Read.All,Group.Read.All
Get-MgGroupOwner,Group.Read.All,Group.Read.All
Get-MgGroupPlannerPlan,Tasks.Read,Tasks.Read
Get-MgIdentityConditionalAccessNamedLocation,Policy.Read.All,Policy.Read.All
Get-MgIdentityConditionalAccessPolicy,Policy.Read.All,Policy.Read.All
Get-MgBetaOrganization,Organization.Read.All,Organization.Read.All
Get-MgPlannerPlanBucket,Tasks.Read,Tasks.Read
Get-MgPlannerTask,Group.Read.All,Group.Read.All
Get-MgPlannerTaskDetail,Group.Read.All,Group.Read.All
Get-MgPolicyAuthorizationPolicy,Policy.Read.All,Policy.Read.All
Get-MgPolicyIdentitySecurityDefaultEnforcementPolicy,Policy.Read.All,Policy.Read.All
Get-MgBetaPolicyRoleManagementPolicyAssignment,RoleManagementPolicy.Read.Directory,RoleManagementPolicy.Read.Directory
Get-MgBetaPolicyRoleManagementPolicyRule,RoleManagementPolicy.Read.Directory,RoleManagementPolicy.Read.Directory
Get-MgPolicyTokenLifetimePolicy,Policy.Read.All,Policy.Read.All
Get-MgBetaRoleManagementDirectoryRoleAssignment,RoleManagement.Read.Directory,RoleManagement.Read.Directory
Get-MgBetaRoleManagementDirectoryRoleDefinition,RoleManagement.Read.Directory,RoleManagement.Read.Directory
Get-MgServicePrincipal,Application.Read.All,Application.Read.All
Get-MgBetaSubscribedSku,Organization.Read.All,Organization.Read.All
Get-MgTeamChannel,ChannelSettings.Read.All,ChannelSettings.Read.All
Get-MgUser,User.Read.All,User.Read.All
Get-MgUserLicenseDetail,User.Read.All,User.Read.All
New-MgAdministrativeUnit,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
New-MgApplication,Application.ReadWrite.All,Application.ReadWrite.All
New-MgApplicationOwnerByRef,Application.ReadWrite.All,Application.ReadWrite.All
New-MgBetaDirectoryAdministrativeUnitExtension,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
New-MgBetaDirectoryAdministrativeUnitMemberByRef,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
New-MgBetaDirectoryAdministrativeUnitScopedRoleMember,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
New-MgBetaDirectoryRoleMemberByRef,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
New-MgDirectorySetting,Directory.ReadWrite.All,Directory.ReadWrite.All
New-MgEntitlementManagementAccessPackage,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
New-MgEntitlementManagementAccessPackageCatalog,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
New-MgEntitlementManagementAccessPackageIncompatibleAccessPackageByRef,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
New-MgEntitlementManagementAccessPackageIncompatibleGroupByRef,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
New-MgEntitlementManagementAccessPackageResourceRequest,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
New-MgEntitlementManagementAccessPackageResourceRoleScope,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
New-MgGroup,Group.ReadWrite.All,Group.ReadWrite.All
New-MgGroupLifecyclePolicy,Directory.ReadWrite.All,Directory.ReadWrite.All
New-MgGroupMember,Group.ReadWrite.All,Group.ReadWrite.All
New-MgGroupMemberByRef,Group.ReadWrite.All,Group.ReadWrite.All
New-MgGroupOwnerByRef,Group.ReadWrite.All,Group.ReadWrite.All
New-MgIdentityConditionalAccessPolicy,Policy.Read.All/Policy.ReadWrite.ConditionalAccess,Policy.Read.All/Policy.ReadWrite.ConditionalAccess
New-MgPlannerBucket,Tasks.ReadWrite,Tasks.ReadWrite
New-MgPlannerPlan,Tasks.ReadWrite,Tasks.ReadWrite
New-MgPlannerTask,Group.ReadWrite.All,Group.ReadWrite.All
New-MgPolicyTokenLifetimePolicy,Policy.ReadWrite.ApplicationConfiguration,Policy.ReadWrite.ApplicationConfiguration
New-MgBetaRoleManagementDirectoryRoleAssignment,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
New-MgBetaRoleManagementDirectoryRoleDefinition,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
New-MgServicePrincipal,Application.ReadWrite.All,Application.ReadWrite.All
New-MgSGroup,Group.ReadWrite.All,Group.ReadWrite.All
New-MgTeamChannelTab,TeamsTab.Create,TeamsTab.Create
New-MgUser,User.ReadWrite.All,User.ReadWrite.All
Remove-MgApplication,Application.ReadWrite.All,Application.ReadWrite.All
Remove-MgApplicationOwnerByRef,Application.ReadWrite.All,Application.ReadWrite.All
Remove-MgBetaDirectoryAdministrativeUnit,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
Remove-MgBetaDirectoryAdministrativeUnitExtension,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
Remove-MgBetaDirectoryAdministrativeUnitMemberByRef,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
Remove-MgBetaDirectoryAdministrativeUnitScopedRoleMember,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
Remove-MgBetaDirectoryRoleMemberByRef,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
Remove-MgDirectorySetting,Directory.ReadWrite.All,Directory.ReadWrite.All
Remove-MgEntitlementManagementAccessPackage,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Remove-MgEntitlementManagementAccessPackageCatalog,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Remove-MgEntitlementManagementAccessPackageIncompatibleAccessPackageByRef,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Remove-MgEntitlementManagementAccessPackageIncompatibleGroupByRef,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Remove-MgEntitlementManagementAccessPackageResourceRoleScope,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Remove-MgGroup,Group.ReadWrite.All,Group.ReadWrite.All
Remove-MgGroupMemberByRef,Group.ReadWrite.All,Group.ReadWrite.All
Remove-MgGroupOwnerByRef,Group.ReadWrite.All,Group.ReadWrite.All
Remove-MgGroupLifecyclePolicy,Directory.ReadWrite.All,Directory.ReadWrite.All
Remove-MgIdentityConditionalAccessNamedLocation,Policy.Read.All/Policy.ReadWrite.ConditionalAccess,Policy.Read.All/Policy.ReadWrite.ConditionalAccess
Remove-MgIdentityConditionalAccessPolicy,Policy.Read.All/Policy.ReadWrite.ConditionalAccess,Policy.Read.All/Policy.ReadWrite.ConditionalAccess
Remove-MgPlannerTask,Group.ReadWrite.All,Group.ReadWrite.All
Remove-MgPolicyTokenLifetimePolicy,Policy.ReadWrite.ApplicationConfiguration,Policy.ReadWrite.ApplicationConfiguration
Remove-MgBetaRoleManagementDirectoryRoleAssignment,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
Remove-MgBetaRoleManagementDirectoryRoleDefinition,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
Remove-MgServicePrincipal,Application.ReadWrite.All,Application.ReadWrite.All
Remove-MgTeamChannelTab,Channel.Delete.All,Channel.Delete.All
Remove-MgUser,User.ReadWrite.All,User.ReadWrite.All
Set-MgGroupLicense,Group.ReadWrite.All,Group.ReadWrite.All
Set-MgUserLicense,User.ReadWrite.All,User.ReadWrite.All
Update-MgAdministrativeUnit,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
Update-MgApplication,Application.ReadWrite.All,Application.ReadWrite.All
Update-MgBetaDirectoryAdministrativeUnitExtension,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All
Update-MgDirectorySetting,Directory.ReadWrite.All,Directory.ReadWrite.All
Update-MgBetaEntitlementManagementAccessPackage,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Update-MgBetaEntitlementManagementAccessPackageCatalog,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All
Update-MgGroup,Group.ReadWrite.All,Group.ReadWrite.All
Update-MgGroupLifecyclePolicy,Directory.ReadWrite.All,Directory.ReadWrite.All
Update-MgIdentityConditionalAccessPolicy,Policy.Read.All/Policy.ReadWrite.ConditionalAccess,Policy.Read.All/Policy.ReadWrite.ConditionalAccess
Update-MgBetaOrganization,Organization.ReadWrite.All,Organization.ReadWrite.All
Update-MgPlannerPlan,Tasks.ReadWrite,Tasks.ReadWrite
Update-MgPolicyAuthorizationPolicy,Policy.ReadWrite.Authorization,Policy.ReadWrite.Authorization
Update-MgPolicyIdentitySecurityDefaultEnforcementPolicy,Policy.ReadWrite.ConditionalAccess,Policy.ReadWrite.ConditionalAccess
Update-MgBetaPolicyRoleManagementPolicyRule,RoleManagementPolicy.Read.Directory,RoleManagementPolicy.Read.Directory
Update-MgPolicyTokenLifetimePolicy,Policy.ReadWrite.ApplicationConfiguration,Policy.ReadWrite.ApplicationConfiguration
Update-MgBetaRoleManagementDirectoryRoleDefinition,RoleManagement.ReadWrite.Directory,RoleManagement.ReadWrite.Directory
Update-MgServicePrincipal,Application.ReadWrite.All,Application.ReadWrite.All
Update-MgTeamChannelTab,TeamsTab.ReadWrite.All,TeamsTab.ReadWrite.All
Update-MgUser,User.ReadWrite.All,User.ReadWrite.All
